Brand,Image,Link,Price,Condition,Mileage,Engine,Transmission,Body Type,Location
Perodua,https://www.oto.my/upload/image/2024/07/29/235944/s4-143757546.jpg,/car-for-sale/235944/used-2021-perodua-bezza-g-selangor/,"RM 38,800",Used,"50,000 - 54,999 km",1.0L,Automatic,Sedan,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/29/235943/s4-148235490.jpg,/car-for-sale/235943/used-2017-perodua-alza-ez-johor/,"RM 41,800",Used,"65,000 - 69,999 km",1.5L,Automatic,MPV,Johor
Perodua,https://www.oto.my/upload/image/2024/07/29/235940/s4-149969277.jpg,/car-for-sale/235940/used-2021-perodua-myvi-g-selangor/,"RM 44,800",Used,"30,000 - 34,999 km",1.3L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/29/235938/s4-149443086.jpg,/car-for-sale/235938/used-2020-perodua-axia-av-johor/,"RM 37,800",Used,"55,000 - 59,999 km",1.0L,Automatic,Hatchback,Johor
Perodua,https://www.oto.my/upload/image/2024/07/27/235933/s4-149434816.jpg,/car-for-sale/235933/used-2021-perodua-myvi-h-selangor/,"RM 48,800",Used,"50,000 - 54,999 km",1.5L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/27/235932/s4-149716711.jpg,/car-for-sale/235932/used-2021-perodua-ativa-h-selangor/,"RM 60,800",Used,"70,000 - 74,999 km",1.0L,Automatic,SUV,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/27/235929/s4-147233813.jpg,/car-for-sale/235929/used-2022-perodua-axia-av-pulau-pinang/,"RM 39,800",Used,"65,000 - 69,999 km",1.0L,Automatic,Hatchback,Pulau Pinang
Perodua,https://www.oto.my/upload/image/2024/07/27/235924/s4-149424740.jpg,/car-for-sale/235924/used-2020-perodua-myvi-av-johor/,"RM 50,800",Used,"35,000 - 39,999 km",1.5L,Automatic,Hatchback,Johor
Perodua,https://www.oto.my/upload/image/2024/07/27/235917/s4-148808564.jpg,/car-for-sale/235917/used-2018-perodua-myvi-h-johor/,"RM 44,800",Used,"40,000 - 44,999 km",1.5L,Automatic,Hatchback,Johor
Perodua,https://www.oto.my/upload/image/2024/07/27/235916/s4-148674167.jpg,/car-for-sale/235916/used-2022-perodua-ativa-h-johor/,"RM 63,800",Used,"40,000 - 44,999 km",1.0L,Automatic,SUV,Johor
Perodua,https://www.oto.my/upload/image/2024/07/27/235914/s4-149336021.jpg,/car-for-sale/235914/used-2018-perodua-myvi-h-pulau-pinang/,"RM 44,800",Used,"50,000 - 54,999 km",1.5L,Automatic,Hatchback,Pulau Pinang
Perodua,https://www.oto.my/upload/image/2024/07/27/235910/s4-149427073.jpg,/car-for-sale/235910/used-2022-perodua-aruz-av-pulau-pinang/,"RM 68,800",Used,"40,000 - 44,999 km",1.5L,Automatic,MPV,Pulau Pinang
Perodua,https://www.oto.my/upload/image/2024/07/27/235909/s4-149461726.jpg,/car-for-sale/235909/used-2019-perodua-myvi-h-selangor/,"RM 44,800",Used,"95,000 - 99,999 km",1.5L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/26/235902/s4-148760118.jpg,/car-for-sale/235902/used-2019-perodua-myvi-g-selangor/,"RM 42,800",Used,"70,000 - 74,999 km",1.3L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/26/235894/s4-148068222.jpg,/car-for-sale/235894/used-2019-perodua-myvi-h-selangor/,"RM 45,800",Used,"90,000 - 94,999 km",1.5L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/26/235893/s4-148633916.jpg,/car-for-sale/235893/used-2020-perodua-myvi-x-selangor/,"RM 43,800",Used,"85,000 - 89,999 km",1.3L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/25/235888/s4-148602400.jpg,/car-for-sale/235888/used-2023-perodua-myvi-av-selangor/,"RM 58,800",Used,"10,000 - 14,999 km",1.5L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/25/235872/s4-148839163.jpg,/car-for-sale/235872/used-2021-perodua-ativa-h-pulau-pinang/,"RM 63,800",Used,"55,000 - 59,999 km",1.0L,Automatic,SUV,Pulau Pinang
Perodua,https://www.oto.my/upload/image/2024/07/24/235859/s4-148452407.jpg,/car-for-sale/235859/used-2021-perodua-myvi-av-selangor/,"RM 52,800",Used,"70,000 - 74,999 km",1.5L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/24/235852/s4-148070840.jpg,/car-for-sale/235852/used-2021-perodua-myvi-av-selangor/,"RM 52,800",Used,"45,000 - 49,999 km",1.5L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/23/235834/s4-148461658.jpg,/car-for-sale/235834/used-2022-perodua-myvi-g-negeri-sembilan/,"RM 45,800",Used,"10,000 - 14,999 km",1.3L,Automatic,Hatchback,Negeri Sembilan
Perodua,https://www.oto.my/upload/image/2024/07/23/235830/s4-147427108.jpg,/car-for-sale/235830/used-2018-perodua-myvi-h-selangor/,"RM 43,800",Used,"90,000 - 94,999 km",1.5L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/22/235817/s4-147450370.jpg,/car-for-sale/235817/used-2019-perodua-myvi-av-johor/,"RM 48,800",Used,"90,000 - 94,999 km",1.5L,Automatic,Hatchback,Johor
Perodua,https://www.oto.my/upload/image/2024/07/22/235816/s4-147440630.jpg,/car-for-sale/235816/used-2020-perodua-myvi-av-johor/,"RM 50,800",Used,"75,000 - 79,999 km",1.5L,Automatic,Hatchback,Johor
Perodua,https://www.oto.my/upload/image/2024/07/22/235814/s4-148056933.jpg,/car-for-sale/235814/used-2022-perodua-ativa-h-johor/,"RM 61,800",Used,"55,000 - 59,999 km",1.0L,Automatic,SUV,Johor
Perodua,https://www.oto.my/upload/image/2024/07/20/235793/s4-147733929.jpg,/car-for-sale/235793/used-2020-perodua-myvi-av-selangor/,"RM 52,800",Used,"75,000 - 79,999 km",1.5L,Automatic,Hatchback,Selangor
Perodua,https://www.oto.my/upload/image/2024/07/20/235789/s4-146614915.jpg,/car-for-sale/235789/used-2020-perodua-myvi-x-johor/,"RM 43,800",Used,"20,000 - 24,999 km",1.3L,Automatic,Hatchback,Johor
Perodua,https://www.oto.my/upload/image/2024/07/20/235788/s4-146507578.jpg,/car-for-sale/235788/used-2020-perodua-aruz-av-johor/,"RM 61,800",Used,"90,000 - 94,999 km",1.5L,Automatic,MPV,Johor
Perodua,https://www.oto.my/upload/image/2024/07/20/235786/s4-147451479.jpg,/car-for-sale/235786/used-2017-perodua-myvi-g-johor/,"RM 30,800",Used,"35,000 - 39,999 km",1.3L,Manual,Hatchback,Johor
